payload_size average_vmrss average_throughput average_latency average_cpu_load
3024 7936 2338590 1293 8.12568
5024 7808 3695707 1359 8.16102
7024 7936 5124718 1370 8.38198
9024 7968 6303295 1431 9.11986
11024 7808 7589588 1452 9.70345
13024 8022 8383570 1553 10.5291
15024 8063 9523674 1577 10.7994
17024 7929 10368925 1641 11.6085
19024 7967 11440789 1662 12.6158
21024 8070 12244870 1716 12.1568
23024 7966 12856126 1790 13.8075
25024 8135 14494221 1726 14.0125
27024 8167 14993711 1802 13.6621
29024 8135 15591444 1861 14.1778
31024 8172 16987411 1826 15.292
33024 8064 17944678 1840 14.2643
35024 8246 17843870 1962 15.3528
37024 8217 18816342 1967 15.4419
39024 8068 18472332 2112 16.1545
41024 8266 19239866 2132 16.9573
43024 8349 20654999 2082 15.3562
45024 8413 20639385 2181 16.7699
47024 8412 21872144 2149 16.8002
49024 8540 23205678 2112 17.2126
51024 8681 24869963 2051 16.8799
53024 8598 23799933 2227 18.1975
55024 8640 23831356 2308 18.7595
57024 8662 25827255 2207 17.876
59024 8662 25681581 2298 18.5062
61024 8538 25360072 2406 18.3324
63024 8679 26263766 2399 19.8599
65024 8561 27602100 2355 18.9069
67024 8823 27809863 2410 19.6984
69024 8696 27817246 2481 20.1224
71024 8877 29387336 2416 20.6554
73024 8740 28843598 2531 20.2109
75024 8703 29945462 2505 19.9109
77024 8814 29944653 2572 20.8366
79024 8948 31122310 2539 19.4807
81024 8860 29529359 2743 20.5521
